times,Temp,Units
2008-05-28 03:00:00,56.88,F
2008-05-28 03:30:00,56.78,F
2008-05-28 04:00:00,56.68,F
2008-05-28 04:30:00,56.64,F
2008-05-28 05:00:00,56.64,F
2008-05-28 05:30:00,56.68,F
2008-05-28 06:00:00,56.74,F
2008-05-28 06:30:00,56.85,F
2008-05-28 07:00:00,56.98,F
2008-05-28 07:30:00,57.06,F
2008-05-28 08:00:00,57.15,F
2008-05-28 08:30:00,57.29,F
2008-05-28 09:00:00,57.37,F
2008-05-28 09:30:00,57.52,F
2008-05-28 10:00:00,57.61,F
2008-05-28 10:30:00,57.82,F
2008-05-28 11:00:00,57.97,F
2008-05-28 11:30:00,58.4,F
2008-05-28 12:00:00,58.94,F
2008-05-28 12:30:00,59.47,F
2008-05-28 13:00:00,59.22,F
2008-05-28 13:30:00,58.98,F
2008-05-28 14:00:00,59.27,F
2008-05-28 14:30:00,59.0,F
2008-05-28 15:00:00,59.17,F
2008-05-28 15:30:00,59.07,F
2008-05-28 16:00:00,59.09,F
2008-05-28 16:30:00,58.51,F
2008-05-28 17:00:00,57.72,F
2008-05-28 17:30:00,57.93,F
2008-05-28 18:00:00,58.08,F
2008-05-28 18:30:00,58.07,F
2008-05-28 19:00:00,57.89,F
2008-05-28 19:30:00,57.72,F
2008-05-28 20:00:00,57.73,F
2008-05-28 20:30:00,57.64,F
2008-05-28 21:00:00,57.5,F
2008-05-28 21:30:00,57.57,F
2008-05-28 22:00:00,57.35,F
2008-05-28 22:30:00,57.1,F
2008-05-28 23:00:00,56.96,F
2008-05-28 23:30:00,56.89,F
2008-05-29 00:00:00,56.84,F
2008-05-29 00:30:00,56.73,F
2008-05-29 01:00:00,56.71,F
2008-05-29 01:30:00,56.66,F
2008-05-29 02:00:00,56.6,F
2008-05-29 02:30:00,56.55,F
2008-05-29 03:00:00,56.5,F
2008-05-29 03:30:00,56.42,F
2008-05-29 04:00:00,56.39,F
2008-05-29 04:30:00,56.35,F
2008-05-29 05:00:00,56.34,F
2008-05-29 05:30:00,56.4,F
2008-05-29 06:00:00,56.44,F
2008-05-29 06:30:00,56.59,F
2008-05-29 07:00:00,56.69,F
2008-05-29 07:30:00,56.94,F
2008-05-29 08:00:00,56.98,F
2008-05-29 08:30:00,57.33,F
2008-05-29 09:00:00,57.4,F
2008-05-29 09:30:00,57.82,F
2008-05-29 10:00:00,58.35,F
2008-05-29 10:30:00,58.79,F
2008-05-29 11:00:00,59.35,F
2008-05-29 11:30:00,59.35,F
2008-05-29 12:00:00,59.47,F
2008-05-29 12:30:00,59.7,F
2008-05-29 13:00:00,60.18,F
2008-05-29 13:30:00,60.38,F
2008-05-29 14:00:00,60.24,F
2008-05-29 14:30:00,60.52,F
2008-05-29 15:00:00,60.47,F
2008-05-29 15:30:00,60.57,F
2008-05-29 16:00:00,60.57,F
2008-05-29 16:30:00,60.49,F
2008-05-29 17:00:00,60.32,F
2008-05-29 17:30:00,60.12,F
2008-05-29 18:00:00,60.0,F
2008-05-29 18:30:00,59.61,F
2008-05-29 19:00:00,59.63,F
2008-05-29 19:30:00,59.71,F
2008-05-29 20:00:00,59.59,F
2008-05-29 20:30:00,59.25,F
2008-05-29 21:00:00,59.26,F
2008-05-29 21:30:00,58.94,F
2008-05-29 22:00:00,58.87,F
2008-05-29 22:30:00,58.78,F
2008-05-29 23:00:00,58.76,F
2008-05-29 23:30:00,58.68,F
2008-05-30 00:00:00,58.59,F
2008-05-30 00:30:00,58.53,F
2008-05-30 01:00:00,58.43,F
2008-05-30 01:30:00,58.36,F
2008-05-30 02:00:00,58.3,F
2008-05-30 02:30:00,58.23,F
2008-05-30 03:00:00,58.19,F
2008-05-30 03:30:00,58.13,F
2008-05-30 04:00:00,58.15,F
2008-05-30 04:30:00,58.17,F
2008-05-30 05:00:00,58.21,F
2008-05-30 05:30:00,58.2,F
2008-05-30 06:00:00,58.16,F
2008-05-30 06:30:00,58.15,F
2008-05-30 07:00:00,58.16,F
2008-05-30 07:30:00,58.18,F
2008-05-30 08:00:00,58.23,F
2008-05-30 08:30:00,58.3,F
2008-05-30 09:00:00,58.45,F
2008-05-30 09:30:00,58.77,F
2008-05-30 10:00:00,58.93,F
2008-05-30 10:30:00,59.18,F
2008-05-30 11:00:00,59.22,F
2008-05-30 11:30:00,59.23,F
2008-05-30 12:00:00,59.47,F
2008-05-30 12:30:00,59.48,F
2008-05-30 13:00:00,59.58,F
2008-05-30 13:30:00,59.74,F
2008-05-30 14:00:00,59.77,F
2008-05-30 14:30:00,59.72,F
2008-05-30 15:00:00,59.73,F
2008-05-30 15:30:00,59.78,F
2008-05-30 16:00:00,59.64,F
2008-05-30 16:30:00,59.67,F
2008-05-30 17:00:00,59.7,F
2008-05-30 17:30:00,59.63,F
2008-05-30 18:00:00,59.44,F
2008-05-30 18:30:00,59.41,F
2008-05-30 19:00:00,59.36,F
2008-05-30 19:30:00,59.4,F
2008-05-30 20:00:00,59.41,F
2008-05-30 20:30:00,59.43,F
2008-05-30 21:00:00,59.44,F
2008-05-30 21:30:00,59.54,F
2008-05-30 22:00:00,59.59,F
2008-05-30 22:30:00,59.7,F
2008-05-30 23:00:00,59.75,F
2008-05-30 23:30:00,59.82,F
2008-05-31 00:00:00,59.84,F
2008-05-31 00:30:00,59.74,F
2008-05-31 01:00:00,59.66,F
2008-05-31 01:30:00,59.59,F
2008-05-31 02:00:00,59.4,F
2008-05-31 02:30:00,59.16,F
2008-05-31 03:00:00,59.45,F
2008-05-31 03:30:00,59.39,F
2008-05-31 04:00:00,59.55,F
2008-05-31 04:30:00,59.36,F
2008-05-31 05:00:00,59.41,F
2008-05-31 05:30:00,59.47,F
2008-05-31 06:00:00,59.57,F
2008-05-31 06:30:00,59.61,F
2008-05-31 07:00:00,59.72,F
2008-05-31 07:30:00,59.9,F
2008-05-31 08:00:00,60.0,F
2008-05-31 08:30:00,60.18,F
2008-05-31 09:00:00,60.53,F
2008-05-31 09:30:00,60.77,F
2008-05-31 10:00:00,61.0,F
2008-05-31 10:30:00,61.22,F
2008-05-31 11:00:00,61.63,F
2008-05-31 11:30:00,62.0,F
2008-05-31 12:00:00,62.07,F
2008-05-31 12:30:00,62.06,F
2008-05-31 13:00:00,62.15,F
2008-05-31 13:30:00,62.4,F
2008-05-31 14:00:00,62.62,F
2008-05-31 14:30:00,62.71,F
2008-05-31 15:00:00,62.89,F
2008-05-31 15:30:00,62.72,F
2008-05-31 16:00:00,62.54,F
2008-05-31 16:30:00,62.38,F
2008-05-31 17:00:00,62.15,F
2008-05-31 17:30:00,62.24,F
2008-05-31 18:00:00,62.17,F
2008-05-31 18:30:00,62.08,F
2008-05-31 19:00:00,62.09,F
2008-05-31 19:30:00,62.06,F
2008-05-31 20:00:00,62.12,F
2008-05-31 20:30:00,62.08,F
2008-05-31 21:00:00,62.03,F
2008-05-31 21:30:00,61.99,F
2008-05-31 22:00:00,61.91,F
2008-05-31 22:30:00,61.82,F
2008-05-31 23:00:00,61.68,F
2008-05-31 23:30:00,61.48,F
2008-06-01 00:00:00,61.42,F
2008-06-01 00:30:00,61.16,F
2008-06-01 01:00:00,61.04,F
2008-06-01 01:30:00,60.97,F
2008-06-01 02:00:00,60.9,F
2008-06-01 02:30:00,60.92,F
2008-06-01 03:00:00,60.9,F
2008-06-01 03:30:00,60.89,F
2008-06-01 04:00:00,60.9,F
2008-06-01 04:30:00,60.94,F
2008-06-01 05:00:00,60.94,F
2008-06-01 05:30:00,60.96,F
2008-06-01 06:00:00,60.98,F
2008-06-01 06:30:00,61.05,F
2008-06-01 07:00:00,61.12,F
2008-06-01 07:30:00,61.26,F
2008-06-01 08:00:00,61.36,F
2008-06-01 08:30:00,61.5,F
2008-06-01 09:00:00,61.66,F
2008-06-01 09:30:00,61.81,F
2008-06-01 10:00:00,61.98,F
2008-06-01 10:30:00,62.16,F
2008-06-01 11:00:00,62.33,F
2008-06-01 11:30:00,62.5,F
2008-06-01 12:00:00,62.53,F
2008-06-01 12:30:00,62.65,F
2008-06-01 13:00:00,62.71,F
2008-06-01 13:30:00,62.79,F
2008-06-01 14:00:00,62.91,F
2008-06-01 14:30:00,62.98,F
2008-06-01 15:00:00,63.04,F
2008-06-01 15:30:00,63.09,F
