times,Units,parameter,value
2008-05-21 14:00:00,F,Water_Temperature,53.91
2008-05-21 14:00:00,%,ODOSat,95.7
2008-05-21 14:00:00,V,Bat,14.5
2008-05-21 14:00:00,mg/L,Dissolved_Oxygen,10.27
2008-05-21 14:00:00,NTU+,Turb+,30.5
2008-05-21 14:30:00,NTU+,Turb+,31.77
2008-05-21 14:30:00,V,Bat,14.4
2008-05-21 14:30:00,%,ODOSat,95.8
2008-05-21 14:30:00,F,Water_Temperature,53.9
2008-05-21 14:30:00,mg/L,Dissolved_Oxygen,10.27
2008-05-21 14:30:00,ÂµS/cm,Sp Cond,292.0
2008-05-21 15:00:00,V,Bat,14.4
2008-05-21 15:00:00,%,ODOSat,95.7
2008-05-21 15:00:00,NTU+,Turb+,33.23
2008-05-21 15:00:00,F,Water_Temperature,53.85
2008-05-21 15:00:00,ÂµS/cm,Sp Cond,293.0
2008-05-21 15:00:00,mg/L,Dissolved_Oxygen,10.27
2008-05-21 15:30:00,ÂµS/cm,Sp Cond,293.0
2008-05-21 15:30:00,V,Bat,13.6
2008-05-21 15:30:00,mg/L,Dissolved_Oxygen,10.27
2008-05-21 15:30:00,%,ODOSat,95.6
2008-05-21 15:30:00,F,Water_Temperature,53.76
2008-05-21 15:30:00,NTU+,Turb+,35.47
2008-05-21 16:00:00,V,Bat,13.3
2008-05-21 16:00:00,mg/L,Dissolved_Oxygen,10.29
2008-05-21 16:00:00,%,ODOSat,95.7
2008-05-21 16:00:00,ÂµS/cm,Sp Cond,294.0
2008-05-21 16:00:00,NTU+,Turb+,40.13
2008-05-21 16:00:00,F,Water_Temperature,53.66
2008-05-21 16:30:00,mg/L,Dissolved_Oxygen,10.31
2008-05-21 16:30:00,%,ODOSat,95.7
2008-05-21 16:30:00,V,Bat,13.2
2008-05-21 16:30:00,ÂµS/cm,Sp Cond,294.0
2008-05-21 16:30:00,F,Water_Temperature,53.56
2008-05-21 16:30:00,NTU+,Turb+,41.47
2008-05-21 17:00:00,ÂµS/cm,Sp Cond,294.0
2008-05-21 17:00:00,mg/L,Dissolved_Oxygen,10.33
2008-05-21 17:00:00,%,ODOSat,95.8
2008-05-21 17:00:00,F,Water_Temperature,53.5
2008-05-21 17:00:00,V,Bat,13.2
2008-05-21 17:00:00,NTU+,Turb+,44.53
2008-05-21 17:30:00,mg/L,Dissolved_Oxygen,10.33
2008-05-21 17:30:00,%,ODOSat,95.8
2008-05-21 17:30:00,F,Water_Temperature,53.46
2008-05-21 17:30:00,NTU+,Turb+,48.77
2008-05-21 17:30:00,ÂµS/cm,Sp Cond,295.0
2008-05-21 17:30:00,V,Bat,13.2
2008-05-21 18:00:00,F,Water_Temperature,53.39
2008-05-21 18:00:00,%,ODOSat,95.6
2008-05-21 18:00:00,mg/L,Dissolved_Oxygen,10.33
2008-05-21 18:00:00,NTU+,Turb+,52.4
2008-05-21 18:00:00,ÂµS/cm,Sp Cond,295.0
2008-05-21 18:00:00,V,Bat,13.2
2008-05-21 18:30:00,NTU+,Turb+,52.8
2008-05-21 18:30:00,V,Bat,13.2
2008-05-21 18:30:00,%,ODOSat,95.6
2008-05-21 18:30:00,F,Water_Temperature,53.31
2008-05-21 18:30:00,mg/L,Dissolved_Oxygen,10.34
2008-05-21 18:30:00,ÂµS/cm,Sp Cond,295.0
2008-05-21 19:00:00,F,Water_Temperature,53.31
2008-05-21 19:00:00,NTU+,Turb+,56.07
2008-05-21 19:00:00,ÂµS/cm,Sp Cond,296.0
2008-05-21 19:00:00,mg/L,Dissolved_Oxygen,10.34
2008-05-21 19:00:00,%,ODOSat,95.7
2008-05-21 19:00:00,V,Bat,13.1
2008-05-21 19:30:00,V,Bat,13.1
2008-05-21 19:30:00,ÂµS/cm,Sp Cond,297.0
2008-05-21 19:30:00,mg/L,Dissolved_Oxygen,10.36
2008-05-21 19:30:00,F,Water_Temperature,53.29
2008-05-21 19:30:00,%,ODOSat,95.8
2008-05-21 19:30:00,NTU+,Turb+,59.6
2008-05-21 20:00:00,F,Water_Temperature,53.22
2008-05-21 20:00:00,%,ODOSat,95.9
2008-05-21 20:00:00,V,Bat,13.1
2008-05-21 20:00:00,NTU+,Turb+,62.43
2008-05-21 20:00:00,ÂµS/cm,Sp Cond,297.0
2008-05-21 20:00:00,mg/L,Dissolved_Oxygen,10.38
2008-05-21 20:30:00,F,Water_Temperature,53.18
2008-05-21 20:30:00,mg/L,Dissolved_Oxygen,10.37
2008-05-21 20:30:00,NTU+,Turb+,64.53
2008-05-21 20:30:00,V,Bat,13.1
2008-05-21 20:30:00,ÂµS/cm,Sp Cond,297.0
2008-05-21 20:30:00,%,ODOSat,95.8
2008-05-21 21:00:00,ÂµS/cm,Sp Cond,298.0
2008-05-21 21:00:00,NTU+,Turb+,65.43
2008-05-21 21:00:00,V,Bat,13.1
2008-05-21 21:00:00,F,Water_Temperature,53.12
2008-05-21 21:00:00,%,ODOSat,95.7
2008-05-21 21:00:00,mg/L,Dissolved_Oxygen,10.37
2008-05-21 21:30:00,F,Water_Temperature,53.08
2008-05-21 21:30:00,%,ODOSat,95.3
2008-05-21 21:30:00,ÂµS/cm,Sp Cond,299.0
2008-05-21 21:30:00,NTU+,Turb+,62.8
2008-05-21 21:30:00,mg/L,Dissolved_Oxygen,10.34
2008-05-21 21:30:00,V,Bat,13.1
2008-05-21 22:00:00,F,Water_Temperature,52.96
2008-05-21 22:00:00,ÂµS/cm,Sp Cond,299.0
2008-05-21 22:00:00,V,Bat,13.1
2008-05-21 22:00:00,mg/L,Dissolved_Oxygen,10.37
2008-05-21 22:00:00,NTU+,Turb+,65.3
2008-05-21 22:00:00,%,ODOSat,95.5
2008-05-21 22:30:00,%,ODOSat,95.3
2008-05-21 22:30:00,F,Water_Temperature,52.92
2008-05-21 22:30:00,V,Bat,13.1
2008-05-21 22:30:00,mg/L,Dissolved_Oxygen,10.35
2008-05-21 22:30:00,ÂµS/cm,Sp Cond,299.0
2008-05-21 22:30:00,NTU+,Turb+,61.87
2008-05-21 23:00:00,F,Water_Temperature,52.93
2008-05-21 23:00:00,mg/L,Dissolved_Oxygen,10.29
2008-05-21 23:00:00,%,ODOSat,94.7
2008-05-21 23:00:00,ÂµS/cm,Sp Cond,300.0
2008-05-21 23:00:00,V,Bat,13.0
2008-05-21 23:00:00,NTU+,Turb+,52.2
2008-05-21 23:30:00,NTU+,Turb+,49.4
2008-05-21 23:30:00,V,Bat,13.1
2008-05-21 23:30:00,F,Water_Temperature,52.82
