times,Units,value_mean,value_std,parameter,location
2016-11-23,mg/L,,,Dissolved_Oxygen,Surface_Data
2016-11-24,mg/L,,,Dissolved_Oxygen,Surface_Data
2016-11-25,mg/L,,,Dissolved_Oxygen,Surface_Data
2016-11-26,mg/L,,,Dissolved_Oxygen,Surface_Data
2016-11-27,mg/L,,,Dissolved_Oxygen,Surface_Data
2016-11-28,mg/L,,,Dissolved_Oxygen,Surface_Data
2016-11-29,mg/L,,,Dissolved_Oxygen,Surface_Data
2016-11-30,mg/L,,,Dissolved_Oxygen,Surface_Data
2016-12-01,mg/L,,,Dissolved_Oxygen,Surface_Data
2016-12-02,mg/L,,,Dissolved_Oxygen,Surface_Data
2016-12-03,mg/L,,,Dissolved_Oxygen,Surface_Data
2016-12-04,mg/L,,,Dissolved_Oxygen,Surface_Data
2016-12-05,mg/L,,,Dissolved_Oxygen,Surface_Data
2016-12-06,mg/L,,,Dissolved_Oxygen,Surface_Data
2016-12-07,mg/L,,,Dissolved_Oxygen,Surface_Data
2016-12-08,mg/L,,,Dissolved_Oxygen,Surface_Data
2016-12-09,mg/L,,,Dissolved_Oxygen,Surface_Data
2016-12-10,mg/L,,,Dissolved_Oxygen,Surface_Data
2016-12-11,mg/L,,,Dissolved_Oxygen,Surface_Data
2016-12-12,mg/L,,,Dissolved_Oxygen,Surface_Data
2016-12-13,mg/L,,,Dissolved_Oxygen,Surface_Data
2016-12-14,mg/L,,,Dissolved_Oxygen,Surface_Data
2016-12-15,mg/L,,,Dissolved_Oxygen,Surface_Data
2016-12-16,mg/L,,,Dissolved_Oxygen,Surface_Data
2016-12-17,mg/L,,,Dissolved_Oxygen,Surface_Data
2016-12-18,mg/L,,,Dissolved_Oxygen,Surface_Data
2016-12-19,mg/L,,,Dissolved_Oxygen,Surface_Data
2016-12-20,mg/L,,,Dissolved_Oxygen,Surface_Data
2016-12-21,mg/L,,,Dissolved_Oxygen,Surface_Data
2016-12-22,mg/L,,,Dissolved_Oxygen,Surface_Data
2016-12-23,mg/L,,,Dissolved_Oxygen,Surface_Data
