times,Hs,Units
2008-05-24 09:30:00,,ft
2008-05-24 10:00:00,,ft
2008-05-24 10:30:00,,ft
2008-05-24 11:00:00,,ft
2008-05-24 11:30:00,,ft
2008-05-24 12:00:00,,ft
2008-05-24 12:30:00,,ft
2008-05-24 13:00:00,,ft
2008-05-24 13:30:00,,ft
2008-05-24 14:00:00,,ft
2008-05-24 14:30:00,,ft
2008-05-24 15:00:00,,ft
2008-05-24 15:30:00,,ft
2008-05-24 16:00:00,,ft
2008-05-24 16:30:00,,ft
2008-05-24 17:00:00,,ft
2008-05-24 17:30:00,,ft
2008-05-24 18:00:00,,ft
2008-05-24 18:30:00,,ft
2008-05-24 19:00:00,,ft
2008-05-24 19:30:00,,ft
2008-05-24 20:00:00,,ft
2008-05-24 20:30:00,,ft
2008-05-24 21:00:00,,ft
2008-05-24 21:30:00,,ft
2008-05-24 22:00:00,,ft
2008-05-24 22:30:00,,ft
2008-05-24 23:00:00,,ft
2008-05-24 23:30:00,,ft
2008-05-25 00:00:00,,ft
2008-05-25 00:30:00,,ft
2008-05-25 01:00:00,,ft
2008-05-25 01:30:00,,ft
2008-05-25 02:00:00,,ft
2008-05-25 02:30:00,,ft
2008-05-25 03:00:00,,ft
2008-05-25 03:30:00,,ft
2008-05-25 04:00:00,,ft
2008-05-25 04:30:00,,ft
2008-05-25 05:00:00,,ft
2008-05-25 05:30:00,,ft
2008-05-25 06:00:00,,ft
2008-05-25 06:30:00,,ft
2008-05-25 07:00:00,,ft
2008-05-25 07:30:00,,ft
2008-05-25 08:00:00,,ft
2008-05-25 08:30:00,,ft
2008-05-25 09:00:00,,ft
2008-05-25 09:30:00,,ft
2008-05-25 10:00:00,,ft
2008-05-25 10:30:00,,ft
2008-05-25 11:00:00,,ft
2008-05-25 11:30:00,,ft
2008-05-25 12:00:00,,ft
2008-05-25 12:30:00,,ft
2008-05-25 13:00:00,,ft
2008-05-25 13:30:00,,ft
2008-05-25 14:00:00,,ft
2008-05-25 14:30:00,,ft
2008-05-25 15:00:00,,ft
2008-05-25 15:30:00,,ft
2008-05-25 16:00:00,,ft
2008-05-25 16:30:00,,ft
2008-05-25 17:00:00,,ft
2008-05-25 17:30:00,,ft
2008-05-25 18:00:00,,ft
2008-05-25 18:30:00,,ft
2008-05-25 19:00:00,,ft
2008-05-25 19:30:00,,ft
2008-05-25 20:00:00,,ft
2008-05-25 20:30:00,,ft
2008-05-25 21:00:00,,ft
2008-05-25 21:30:00,,ft
2008-05-25 22:00:00,,ft
2008-05-25 22:30:00,,ft
2008-05-25 23:00:00,,ft
2008-05-25 23:30:00,,ft
2008-05-26 00:00:00,,ft
2008-05-26 00:30:00,,ft
2008-05-26 01:00:00,,ft
2008-05-26 01:30:00,,ft
2008-05-26 02:00:00,,ft
2008-05-26 02:30:00,,ft
2008-05-26 03:00:00,,ft
2008-05-26 03:30:00,,ft
2008-05-26 04:00:00,,ft
2008-05-26 04:30:00,,ft
2008-05-26 05:00:00,,ft
2008-05-26 05:30:00,,ft
2008-05-26 06:00:00,,ft
2008-05-26 06:30:00,,ft
2008-05-26 07:00:00,,ft
2008-05-26 07:30:00,,ft
2008-05-26 08:00:00,,ft
2008-05-26 08:30:00,,ft
2008-05-26 09:00:00,,ft
2008-05-26 09:30:00,,ft
2008-05-26 10:00:00,,ft
2008-05-26 10:30:00,,ft
2008-05-26 11:00:00,,ft
2008-05-26 11:30:00,,ft
2008-05-26 12:00:00,,ft
2008-05-26 12:30:00,,ft
2008-05-26 13:00:00,,ft
2008-05-26 13:30:00,,ft
2008-05-26 14:00:00,,ft
2008-05-26 14:30:00,,ft
2008-05-26 15:00:00,,ft
2008-05-26 15:30:00,,ft
2008-05-26 16:00:00,,ft
2008-05-26 16:30:00,,ft
2008-05-26 17:00:00,,ft
2008-05-26 17:30:00,,ft
2008-05-26 18:00:00,,ft
2008-05-26 18:30:00,,ft
2008-05-26 19:00:00,,ft
2008-05-26 19:30:00,,ft
2008-05-26 20:00:00,,ft
2008-05-26 20:30:00,,ft
2008-05-26 21:00:00,,ft
2008-05-26 21:30:00,,ft
2008-05-26 22:00:00,,ft
2008-05-26 22:30:00,,ft
2008-05-26 23:00:00,,ft
2008-05-26 23:30:00,,ft
2008-05-27 00:00:00,,ft
2008-05-27 00:30:00,,ft
2008-05-27 01:00:00,,ft
2008-05-27 01:30:00,,ft
2008-05-27 02:00:00,,ft
2008-05-27 02:30:00,,ft
2008-05-27 03:00:00,,ft
2008-05-27 03:30:00,,ft
2008-05-27 04:00:00,,ft
2008-05-27 04:30:00,,ft
2008-05-27 05:00:00,,ft
2008-05-27 05:30:00,,ft
2008-05-27 06:00:00,,ft
2008-05-27 06:30:00,,ft
2008-05-27 07:00:00,,ft
2008-05-27 07:30:00,,ft
2008-05-27 08:00:00,,ft
2008-05-27 08:30:00,,ft
2008-05-27 09:00:00,,ft
2008-05-27 09:30:00,,ft
2008-05-27 10:00:00,,ft
2008-05-27 10:30:00,,ft
2008-05-27 11:00:00,,ft
2008-05-27 11:30:00,,ft
2008-05-27 12:00:00,,ft
2008-05-27 12:30:00,,ft
2008-05-27 13:00:00,,ft
2008-05-27 13:30:00,,ft
2008-05-27 14:00:00,,ft
2008-05-27 14:30:00,,ft
2008-05-27 15:00:00,,ft
2008-05-27 15:30:00,,ft
2008-05-27 16:00:00,,ft
2008-05-27 16:30:00,,ft
2008-05-27 17:00:00,,ft
2008-05-27 17:30:00,,ft
2008-05-27 18:00:00,,ft
2008-05-27 18:30:00,,ft
2008-05-27 19:00:00,,ft
2008-05-27 19:30:00,,ft
2008-05-27 20:00:00,,ft
2008-05-27 20:30:00,,ft
2008-05-27 21:00:00,,ft
2008-05-27 21:30:00,,ft
2008-05-27 22:00:00,,ft
2008-05-27 22:30:00,,ft
2008-05-27 23:00:00,,ft
2008-05-27 23:30:00,,ft
2008-05-28 00:00:00,,ft
2008-05-28 00:30:00,,ft
2008-05-28 01:00:00,,ft
2008-05-28 01:30:00,,ft
2008-05-28 02:00:00,,ft
2008-05-28 02:30:00,,ft
2008-05-28 03:00:00,,ft
2008-05-28 03:30:00,,ft
2008-05-28 04:00:00,,ft
2008-05-28 04:30:00,,ft
2008-05-28 05:00:00,,ft
2008-05-28 05:30:00,,ft
2008-05-28 06:00:00,,ft
2008-05-28 06:30:00,,ft
2008-05-28 07:00:00,,ft
2008-05-28 07:30:00,,ft
2008-05-28 08:00:00,,ft
2008-05-28 08:30:00,,ft
2008-05-28 09:00:00,,ft
2008-05-28 09:30:00,,ft
2008-05-28 10:00:00,,ft
2008-05-28 10:30:00,,ft
2008-05-28 11:00:00,,ft
2008-05-28 11:30:00,,ft
2008-05-28 12:00:00,,ft
2008-05-28 12:30:00,,ft
2008-05-28 13:00:00,,ft
2008-05-28 13:30:00,,ft
2008-05-28 14:00:00,,ft
2008-05-28 14:30:00,,ft
2008-05-28 15:00:00,,ft
2008-05-28 15:30:00,,ft
2008-05-28 16:00:00,,ft
2008-05-28 16:30:00,,ft
2008-05-28 17:00:00,,ft
2008-05-28 17:30:00,,ft
2008-05-28 18:00:00,,ft
2008-05-28 18:30:00,,ft
2008-05-28 19:00:00,,ft
2008-05-28 19:30:00,,ft
2008-05-28 20:00:00,,ft
2008-05-28 20:30:00,,ft
2008-05-28 21:00:00,,ft
2008-05-28 21:30:00,,ft
2008-05-28 22:00:00,,ft
2008-05-28 22:30:00,,ft
2008-05-28 23:00:00,,ft
2008-05-28 23:30:00,,ft
2008-05-29 00:00:00,,ft
2008-05-29 00:30:00,,ft
2008-05-29 01:00:00,,ft
2008-05-29 01:30:00,,ft
2008-05-29 02:00:00,,ft
2008-05-29 02:30:00,,ft
2008-05-29 03:00:00,,ft
2008-05-29 03:30:00,,ft
2008-05-29 04:00:00,,ft
2008-05-29 04:30:00,,ft
2008-05-29 05:00:00,,ft
2008-05-29 05:30:00,,ft
2008-05-29 06:00:00,,ft
2008-05-29 06:30:00,,ft
2008-05-29 07:00:00,,ft
2008-05-29 07:30:00,,ft
2008-05-29 08:00:00,,ft
2008-05-29 08:30:00,,ft
2008-05-29 09:00:00,,ft
2008-05-29 09:30:00,,ft
2008-05-29 10:00:00,,ft
2008-05-29 10:30:00,,ft
2008-05-29 11:00:00,,ft
2008-05-29 11:30:00,,ft
2008-05-29 12:00:00,,ft
2008-05-29 12:30:00,,ft
2008-05-29 13:00:00,,ft
2008-05-29 13:30:00,,ft
2008-05-29 14:00:00,,ft
2008-05-29 14:30:00,,ft
2008-05-29 15:00:00,,ft
2008-05-29 15:30:00,,ft
2008-05-29 16:00:00,,ft
2008-05-29 16:30:00,,ft
2008-05-29 17:00:00,,ft
2008-05-29 17:30:00,,ft
2008-05-29 18:00:00,,ft
2008-05-29 18:30:00,,ft
2008-05-29 19:00:00,,ft
2008-05-29 19:30:00,,ft
2008-05-29 20:00:00,,ft
2008-05-29 20:30:00,,ft
2008-05-29 21:00:00,,ft
2008-05-29 21:30:00,,ft
2008-05-29 22:00:00,,ft
2008-05-29 22:30:00,,ft
2008-05-29 23:00:00,,ft
2008-05-29 23:30:00,,ft
2008-05-30 00:00:00,,ft
2008-05-30 00:30:00,,ft
2008-05-30 01:00:00,,ft
2008-05-30 01:30:00,,ft
2008-05-30 02:00:00,,ft
2008-05-30 02:30:00,,ft
2008-05-30 03:00:00,,ft
2008-05-30 03:30:00,,ft
2008-05-30 04:00:00,,ft
2008-05-30 04:30:00,,ft
2008-05-30 05:00:00,,ft
2008-05-30 05:30:00,,ft
2008-05-30 06:00:00,,ft
2008-05-30 06:30:00,,ft
2008-05-30 07:00:00,,ft
2008-05-30 07:30:00,,ft
2008-05-30 08:00:00,,ft
2008-05-30 08:30:00,,ft
2008-05-30 09:00:00,,ft
2008-05-30 09:30:00,,ft
2008-05-30 10:00:00,,ft
2008-05-30 10:30:00,,ft
2008-05-30 11:00:00,,ft
2008-05-30 11:30:00,,ft
2008-05-30 12:00:00,,ft
2008-05-30 12:30:00,,ft
2008-05-30 13:00:00,,ft
2008-05-30 13:30:00,,ft
2008-05-30 14:00:00,,ft
2008-05-30 14:30:00,,ft
2008-05-30 15:00:00,,ft
2008-05-30 15:30:00,,ft
2008-05-30 16:00:00,,ft
2008-05-30 16:30:00,,ft
2008-05-30 17:00:00,,ft
2008-05-30 17:30:00,,ft
2008-05-30 18:00:00,,ft
2008-05-30 18:30:00,,ft
2008-05-30 19:00:00,,ft
2008-05-30 19:30:00,,ft
2008-05-30 20:00:00,,ft
2008-05-30 20:30:00,,ft
2008-05-30 21:00:00,,ft
2008-05-30 21:30:00,,ft
2008-05-30 22:00:00,,ft
2008-05-30 22:30:00,,ft
2008-05-30 23:00:00,,ft
2008-05-30 23:30:00,,ft
2008-05-31 00:00:00,,ft
2008-05-31 00:30:00,,ft
2008-05-31 01:00:00,,ft
2008-05-31 01:30:00,,ft
2008-05-31 02:00:00,,ft
2008-05-31 02:30:00,,ft
2008-05-31 03:00:00,,ft
2008-05-31 03:30:00,,ft
2008-05-31 04:00:00,,ft
2008-05-31 04:30:00,,ft
2008-05-31 05:00:00,,ft
2008-05-31 05:30:00,,ft
2008-05-31 06:00:00,,ft
2008-05-31 06:30:00,,ft
2008-05-31 07:00:00,,ft
2008-05-31 07:30:00,,ft
2008-05-31 08:00:00,,ft
2008-05-31 08:30:00,,ft
2008-05-31 09:00:00,,ft
2008-05-31 09:30:00,,ft
2008-05-31 10:00:00,,ft
2008-05-31 10:30:00,,ft
2008-05-31 11:00:00,,ft
2008-05-31 11:30:00,,ft
2008-05-31 12:00:00,,ft
2008-05-31 12:30:00,,ft
2008-05-31 13:00:00,,ft
2008-05-31 13:30:00,,ft
2008-05-31 14:00:00,,ft
2008-05-31 14:30:00,,ft
2008-05-31 15:00:00,,ft
2008-05-31 15:30:00,,ft
2008-05-31 16:00:00,,ft
2008-05-31 16:30:00,,ft
2008-05-31 17:00:00,,ft
2008-05-31 17:30:00,,ft
2008-05-31 18:00:00,,ft
2008-05-31 18:30:00,,ft
2008-05-31 19:00:00,,ft
2008-05-31 19:30:00,,ft
2008-05-31 20:00:00,,ft
2008-05-31 20:30:00,,ft
2008-05-31 21:00:00,,ft
2008-05-31 21:30:00,,ft
2008-05-31 22:00:00,,ft
2008-05-31 22:30:00,,ft
2008-05-31 23:00:00,,ft
2008-05-31 23:30:00,,ft
2008-06-01 00:00:00,,ft
2008-06-01 00:30:00,,ft
2008-06-01 01:00:00,,ft
2008-06-01 01:30:00,,ft
2008-06-01 02:00:00,,ft
2008-06-01 02:30:00,,ft
2008-06-01 03:00:00,,ft
2008-06-01 03:30:00,,ft
2008-06-01 04:00:00,,ft
2008-06-01 04:30:00,,ft
2008-06-01 05:00:00,,ft
2008-06-01 05:30:00,,ft
2008-06-01 06:00:00,,ft
2008-06-01 06:30:00,,ft
2008-06-01 07:00:00,,ft
2008-06-01 07:30:00,,ft
2008-06-01 08:00:00,,ft
2008-06-01 08:30:00,,ft
2008-06-01 09:00:00,,ft
2008-06-01 09:30:00,,ft
2008-06-01 10:00:00,,ft
2008-06-01 10:30:00,,ft
2008-06-01 11:00:00,,ft
2008-06-01 11:30:00,,ft
2008-06-01 12:00:00,,ft
2008-06-01 12:30:00,,ft
2008-06-01 13:00:00,,ft
2008-06-01 13:30:00,,ft
2008-06-01 14:00:00,,ft
2008-06-01 14:30:00,,ft
2008-06-01 15:00:00,,ft
2008-06-01 15:30:00,,ft
2008-06-01 16:00:00,,ft
2008-06-01 16:30:00,,ft
2008-06-01 17:00:00,,ft
2008-06-01 17:30:00,,ft
2008-06-01 18:00:00,,ft
2008-06-01 18:30:00,,ft
2008-06-01 19:00:00,,ft
2008-06-01 19:30:00,,ft
2008-06-01 20:00:00,,ft
2008-06-01 20:30:00,,ft
2008-06-01 21:00:00,,ft
2008-06-01 21:30:00,,ft
2008-06-01 22:00:00,,ft
2008-06-01 22:30:00,,ft
2008-06-01 23:00:00,,ft
2008-06-01 23:30:00,,ft
2008-06-02 00:00:00,,ft
2008-06-02 00:30:00,,ft
2008-06-02 01:00:00,,ft
2008-06-02 01:30:00,,ft
2008-06-02 02:00:00,,ft
2008-06-02 02:30:00,,ft
2008-06-02 03:00:00,,ft
2008-06-02 03:30:00,,ft
2008-06-02 04:00:00,,ft
2008-06-02 04:30:00,,ft
2008-06-02 05:00:00,,ft
2008-06-02 05:30:00,,ft
2008-06-02 06:00:00,,ft
2008-06-02 06:30:00,,ft
2008-06-02 07:00:00,,ft
2008-06-02 07:30:00,,ft
2008-06-02 08:00:00,,ft
2008-06-02 08:30:00,,ft
2008-06-02 09:00:00,,ft
2008-06-02 09:30:00,,ft
2008-06-02 10:00:00,,ft
2008-06-02 10:30:00,,ft
2008-06-02 11:00:00,,ft
2008-06-02 11:30:00,,ft
2008-06-02 12:00:00,,ft
2008-06-02 12:30:00,,ft
2008-06-02 13:00:00,,ft
2008-06-02 13:30:00,,ft
2008-06-02 14:00:00,,ft
2008-06-02 14:30:00,,ft
2008-06-02 15:00:00,,ft
2008-06-02 15:30:00,,ft
2008-06-02 16:00:00,,ft
2008-06-02 16:30:00,,ft
2008-06-02 17:00:00,,ft
2008-06-02 17:30:00,,ft
2008-06-02 18:00:00,,ft
2008-06-02 18:30:00,,ft
2008-06-02 19:00:00,,ft
2008-06-02 19:30:00,,ft
2008-06-02 20:00:00,,ft
2008-06-02 20:30:00,,ft
2008-06-02 21:00:00,,ft
2008-06-02 21:30:00,,ft
2008-06-02 22:00:00,,ft
2008-06-02 22:30:00,,ft
2008-06-02 23:00:00,,ft
2008-06-02 23:30:00,,ft
2008-06-03 00:00:00,,ft
2008-06-03 00:30:00,,ft
2008-06-03 01:00:00,,ft
2008-06-03 01:30:00,,ft
2008-06-03 02:00:00,,ft
2008-06-03 02:30:00,,ft
2008-06-03 03:00:00,,ft
2008-06-03 03:30:00,,ft
2008-06-03 04:00:00,,ft
2008-06-03 04:30:00,,ft
2008-06-03 05:00:00,,ft
2008-06-03 05:30:00,,ft
2008-06-03 06:00:00,,ft
2008-06-03 06:30:00,,ft
2008-06-03 07:00:00,,ft
2008-06-03 07:30:00,,ft
2008-06-03 08:00:00,,ft
2008-06-03 08:30:00,,ft
2008-06-03 09:00:00,,ft
2008-06-03 09:30:00,,ft
2008-06-03 10:00:00,,ft
2008-06-03 10:30:00,,ft
2008-06-03 11:00:00,,ft
2008-06-03 11:30:00,,ft
2008-06-03 12:00:00,,ft
2008-06-03 12:30:00,,ft
2008-06-03 13:00:00,,ft
2008-06-03 13:30:00,,ft
2008-06-03 14:00:00,,ft
2008-06-03 14:30:00,,ft
2008-06-03 15:00:00,,ft
2008-06-03 15:30:00,,ft
2008-06-03 16:00:00,,ft
2008-06-03 16:30:00,,ft
2008-06-03 17:00:00,,ft
2008-06-03 17:30:00,,ft
2008-06-03 18:00:00,,ft
2008-06-03 18:30:00,,ft
2008-06-03 19:00:00,,ft
2008-06-03 19:30:00,,ft
2008-06-03 20:00:00,,ft
2008-06-03 20:30:00,,ft
2008-06-03 21:00:00,,ft
2008-06-03 21:30:00,,ft
2008-06-03 22:00:00,,ft
2008-06-03 22:30:00,,ft
2008-06-03 23:00:00,,ft
2008-06-03 23:30:00,,ft
2008-06-04 00:00:00,,ft
2008-06-04 00:30:00,,ft
2008-06-04 01:00:00,,ft
2008-06-04 01:30:00,,ft
2008-06-04 02:00:00,,ft
2008-06-04 02:30:00,,ft
2008-06-04 03:00:00,,ft
2008-06-04 03:30:00,,ft
2008-06-04 04:00:00,,ft
2008-06-04 04:30:00,,ft
2008-06-04 05:00:00,,ft
2008-06-04 05:30:00,,ft
2008-06-04 06:00:00,,ft
2008-06-04 06:30:00,,ft
2008-06-04 07:00:00,,ft
2008-06-04 07:30:00,,ft
2008-06-04 08:00:00,,ft
2008-06-04 08:30:00,,ft
2008-06-04 09:00:00,,ft
2008-06-04 09:30:00,,ft
2008-06-04 10:00:00,,ft
2008-06-04 10:30:00,,ft
2008-06-04 11:00:00,,ft
2008-06-04 11:30:00,,ft
2008-06-04 12:00:00,,ft
2008-06-04 12:30:00,,ft
2008-06-04 13:00:00,,ft
2008-06-04 13:30:00,,ft
2008-06-04 14:00:00,,ft
2008-06-04 14:30:00,,ft
2008-06-04 15:00:00,,ft
2008-06-04 15:30:00,,ft
2008-06-04 16:00:00,,ft
2008-06-04 16:30:00,,ft
2008-06-04 17:00:00,,ft
2008-06-04 17:30:00,,ft
2008-06-04 18:00:00,,ft
2008-06-04 18:30:00,,ft
2008-06-04 19:00:00,,ft
2008-06-04 19:30:00,,ft
2008-06-04 20:00:00,,ft
2008-06-04 20:30:00,,ft
2008-06-04 21:00:00,,ft
2008-06-04 21:30:00,,ft
2008-06-04 22:00:00,,ft
2008-06-04 22:30:00,,ft
2008-06-04 23:00:00,,ft
2008-06-04 23:30:00,,ft
2008-06-05 00:00:00,,ft
2008-06-05 00:30:00,,ft
2008-06-05 01:00:00,,ft
2008-06-05 01:30:00,,ft
2008-06-05 02:00:00,,ft
2008-06-05 02:30:00,,ft
2008-06-05 03:00:00,,ft
2008-06-05 03:30:00,,ft
2008-06-05 04:00:00,,ft
2008-06-05 04:30:00,,ft
2008-06-05 05:00:00,,ft
2008-06-05 05:30:00,,ft
2008-06-05 06:00:00,,ft
2008-06-05 06:30:00,,ft
2008-06-05 07:00:00,,ft
2008-06-05 07:30:00,,ft
2008-06-05 08:00:00,,ft
2008-06-05 08:30:00,,ft
2008-06-05 09:00:00,,ft
2008-06-05 09:30:00,,ft
2008-06-05 10:00:00,,ft
2008-06-05 10:30:00,,ft
2008-06-05 11:00:00,,ft
2008-06-05 11:30:00,,ft
2008-06-05 12:00:00,,ft
2008-06-05 12:30:00,,ft
2008-06-05 13:00:00,,ft
2008-06-05 13:30:00,,ft
2008-06-05 14:00:00,,ft
2008-06-05 14:30:00,,ft
2008-06-05 15:00:00,,ft
2008-06-05 15:30:00,,ft
2008-06-05 16:00:00,,ft
2008-06-05 16:30:00,,ft
2008-06-05 17:00:00,,ft
2008-06-05 17:30:00,,ft
2008-06-05 18:00:00,,ft
2008-06-05 18:30:00,,ft
2008-06-05 19:00:00,,ft
2008-06-05 19:30:00,,ft
2008-06-05 20:00:00,,ft
2008-06-05 20:30:00,,ft
2008-06-05 21:00:00,,ft
2008-06-05 21:30:00,,ft
2008-06-05 22:00:00,,ft
2008-06-05 22:30:00,,ft
2008-06-05 23:00:00,,ft
2008-06-05 23:30:00,,ft
2008-06-06 00:00:00,,ft
2008-06-06 00:30:00,,ft
2008-06-06 01:00:00,,ft
2008-06-06 01:30:00,,ft
2008-06-06 02:00:00,,ft
2008-06-06 02:30:00,,ft
2008-06-06 03:00:00,,ft
2008-06-06 03:30:00,,ft
2008-06-06 04:00:00,,ft
2008-06-06 04:30:00,,ft
2008-06-06 05:00:00,,ft
2008-06-06 05:30:00,,ft
2008-06-06 06:00:00,,ft
2008-06-06 06:30:00,,ft
2008-06-06 07:00:00,,ft
2008-06-06 07:30:00,,ft
2008-06-06 08:00:00,,ft
2008-06-06 08:30:00,,ft
